"code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.0132","Whole rock","BC",NA,18.767,15.679,38.879,0.835,2.072,44,9.76,3.9239,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846
"GDM.0133","Whole rock","BC",NA,18.876,15.697,38.975,0.832,2.065,-1,9.81,3.9088,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846
"GDM.0134","Whole rock","BC",NA,18.869,15.676,38.914,0.831,2.062,-39,9.74,3.8756,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846
"GDM.0135","Whole rock","BC",NA,18.837,15.663,38.874,0.832,2.064,-41,9.69,3.8712,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819
"GDM.0136","Whole rock","BC",NA,18.869,15.689,39.007,0.831,2.067,-12,9.78,3.9261,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819
"GDM.0137","Whole rock","BC",NA,18.904,15.705,39.02,0.831,2.064,-6,9.84,3.9162,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819
"GDM.0138","Whole rock","BC",NA,18.905,15.693,38.986,0.83,2.062,-31,9.79,3.8945,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819
"GDM.0139","Whole rock","BC",NA,18.898,15.684,38.85,0.83,2.056,-44,9.76,3.829,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819
"GDM.0140","Whole rock","BC",NA,18.871,15.683,38.96,0.831,2.065,-26,9.76,3.8995,"Arribas & Tosdal, 1994","Ref.016",37.481772,-1.700819
"GDM.0141","Whole rock","BC",NA,18.845,15.685,38.966,0.832,2.068,-2,9.77,3.9196,"Arribas & Tosdal, 1994","Ref.016",36.854378,-2.059174
"GDM.0142","Whole rock","BC",NA,18.835,15.683,38.948,0.833,2.068,1,9.77,3.9163,"Arribas & Tosdal, 1994","Ref.016",36.854378,-2.059174
"GDM.0143","Whole rock","BC",NA,18.863,15.697,38.986,0.832,2.067,8,9.82,3.9225,"Arribas & Tosdal, 1994","Ref.016",36.854378,-2.059174
"GDM.0144","Whole rock","BC",NA,18.856,15.683,38.927,0.832,2.064,-15,9.76,3.8927,"Arribas & Tosdal, 1994","Ref.016",36.854378,-2.059174
"GDM.0145","Galena","BC","Pb-Zn",18.349,15.685,38.578,0.855,2.102,365,9.88,4.0476,"Arribas & Tosdal, 1994","Ref.016",36.867596,-2.768778
"GDM.0146","Galena","BC","Pb-Zn",18.339,15.672,38.567,0.855,2.103,349,9.83,4.044,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0147","Galena","BC","Pb-Zn",18.323,15.659,38.488,0.855,2.101,336,9.78,4.008,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0148","Galena","BC","Pb-Zn",18.321,15.657,38.484,0.855,2.101,334,9.77,4.0065,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0149","Galena","BC","Pb-Zn",18.327,15.663,38.498,0.855,2.101,341,9.8,4.012,"Arribas & Tosdal, 1994","Ref.016",36.983348,-2.160589
"GDM.0150","Whole rock","BC","Pb-Zn",18.731,15.691,39.053,0.838,2.085,95,9.82,4.0391,"Arribas & Tosdal, 1994","Ref.016",37.614019,-0.85159
"GDM.0151","Whole rock","BC","Pb-Zn",18.701,15.67,38.967,0.838,2.084,76,9.74,4.0078,"Arribas & Tosdal, 1994","Ref.016",37.614019,-0.85159
"GDM.0152","Galena","BC","Pb-Zn",18.722,15.681,39.011,0.838,2.084,82,9.78,4.0202,"Arribas & Tosdal, 1994","Ref.016",37.614019,-0.85159
"GDM.0153","Galena","BC","Pb-Zn",18.765,15.708,39.11,0.837,2.084,103,9.88,4.0515,"Arribas & Tosdal, 1994","Ref.016",37.601059,-1.327094
